,date,text,is_pinned,attachments,post_source,comments,likes,reposts,views,len_text,post_source_id,year,month,dayofweek,hour
18,2022-08-09 09:42:25,"И ещё фотографии с открытия!
https://vk.com/album-53956407_284537197",0,7.0,vk,0,36,3,1447,68,1,2022,8,1,9
19,2022-08-06 21:20:38,,0,0.0,api,0,7,2,370,0,0,2022,8,5,21
20,2022-08-05 15:28:10,"и ещё фотографии с открытия галереи уличного искусства

https://vk.com/album-53956407_284483078",0,8.0,vk,1,35,5,1544,95,1,2022,8,4,15
21,2022-08-05 14:50:19,"Вот так открывали галерею уличного искусства.

https://vk.com/n_s_rnd?z=album-53956407_284482203",0,10.0,vk,1,32,3,1121,96,1,2022,8,4,14
22,2022-08-05 13:13:20,"Галерея уличного искусства на Буденновском, 53 официально открыта!
Спасибо:
✨ [club4549761|Уличный Театр ЛАРАМБЛА] за шоу
✨ [id16610127|Andrei Satori] за музыкальное сопровождение
✨ нашим гостям за то, что разделили с нами этот вечер!

Уникальное пространство площадью 500 квадратных метров теперь доступно для посещения каждому и абсолютно бесплатно. Появление галереи или музея стрит-арта, как это пространство можно смело называть, стало возможным благодаря бизнесмену и меценату Сергею Валентиновичу Гайдуку. Многие в нашем городе знают, сколько усилий он прикладывает для того, чтобы Ростов стал не только местом, куда приятно приезжать, но и местом, где хочется жить. «Ростов должен вызывать восторг», - говорит Сергей Валентинович и мы с этим согласны. В рамках фестиваля уличного искусства «Ничего страшного» мы вместе с нашими партнерами из Донского волонтерского центра [club178538640|#ДонВолонтер] сделали все возможное, чтобы в Ростове-на-Дону появилась еще одна яркая точка притяжения. На Буденновском, 53 мы собрали максимально непохожие друг на друга работы уличных художников из разных городов России. 

Приходите увидеть все сами, приводите друзей. See ya!

видео: [id325536083|Катерина Столетняя]

Художники и творческие команды, чьи работы можно найти в галерее: 
Андрей Делай, Алексей Кассета, Костя Original, Ribeko, Вадим Слуф и Антон Сакво, Хорошогр, Atmosphere creator, Fap boys, AGS, Максим Има, Алиса Има, AC, Миша Маркер, Стас Багс.",0,1.0,vk,1,51,19,1895,1459,1,2022,8,4,13
23,2022-08-05 12:22:11,,0,0.0,vk,0,7,0,280,0,1,2022,8,4,12
24,2022-08-05 09:34:20,,0,0.0,vk,0,7,0,305,0,1,2022,8,4,9
25,2022-08-05 09:33:12,,0,0.0,vk,0,4,0,246,0,1,2022,8,4,9
26,2022-08-01 14:45:49,"Приглашаем на торжественное открытие Галереи уличного искусства под открытым небом. 
 
Галерея на Буденновском, 53 появилась в Ростове-на-Дону в рамках проекта “Ничего страшного” - первого масштабного фестиваля уличного искусства в нашем городе. В этом уникальном открытом пространстве площадью 500 кв. м. кураторы фестиваля собрали максимально непохожие друг на друга работы уличных художников от классических граффити и текстов до фигуративных и абстрактных рисунков. 
 
Будут: 
- приветственные речи 
- кураторская экскурсия по работам галереи 
- выступление уличного театра “Ларамбла”
- выступление диджея Андрея Сатори 
 
Когда: 4 августа, 19:00 
Где: Буденновский, 53, внутренний дворик (вход через цветочный рынок) 
Вход свободный, но по регистрации
 (https://kultura-rnd.timepad.ru/event/2125054/)

Художники и творческие команды, чьи работы можно найти в галерее: 
Андрей Делай, Алексей Кассета, Костя Original, Ribeko, Вадим Слуф и Антон Сакво, Хорошогр, Atmosphere creator, Fap boys, AGS, Максим Има, Алиса Има, AC, Миша Маркер, Стас Багс.",0,1.0,vk,0,32,18,1714,1050,1,2022,8,0,14
27,2022-07-28 11:11:01,,0,0.0,vk,0,16,2,378,0,1,2022,7,3,11
