"msg_id","sender","sender_id","reply_to_msg_id","date","msg_type","msg_content","has_mention","has_email","has_phone","has_hashtag","is_bot_command"
36,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-12 16:08:12","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
37,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-12 16:08:12","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
38,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-12 16:08:13","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
39,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-12 20:42:25","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
40,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-13 08:49:58","link","В Испании задержали 99 художников граффити  Прошёл массовый рейд, в ходе которого были задержаны 99 человек за нелегальное нанесение граффити на вагонах поездов метро Барселоны. Причиненный ущерб, согласно заключениям экспертов, составляет порядка €22 млн.  Расследование основывалось на 6741 жалобе, которые регулярно подавались в полицию барселонским метрополитеном в период 2017 - 2019 годов.  Операция была проведена в два этапа: первый был направлен на поиск 51 предполагаемых преступников, проживающих за пределами Каталонии, а второй, разработанный в сотрудничестве с Mossos d'Esquadra сосредоточился на задержания оставшихся в провинциях Барселона, Таррагона и Жирона. Интересно, что в самой Каталонии поймали более 40 правонарушителей. Один молодой человек даже специально прибыл в Испанию из Милана чтобы нарисовать граффити. Его задержали прямо в аэропорту Барселоны.  Расследование продолжается дальше. В национальной полиции Испании не исключают новых задержаний по схожей тематике. https://www.policia.es",0,0,0,0,0
41,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-13 16:21:34","text","Рисунки, тентакли и психоделия в электричках — это новый клип Кассеты, хип-хоп проекта, вдохновлённого граффити-культурой нулевых и музыкой MF DOOM.    Продакшеном занималась студия K ҉SHTA, а видео к «Плёнку перемотай» нарисовал выпускник «Стрелки» Янзи — вот что он говорит об этой работе:   «Одним из интересных аспектов производства этого клипа была работа с актерами. Мы виделись один раз в декабре на самодельной студии 3D-сканирования. Она была сделана из 120 камер Cannon, закрепленных на куполе из сантехнических пластиковых труб и фиттингов. Все, больше мы не виделись почти до финальной версии клипа.   А я делал с ними все что хотел. Большая часть анимации персонажей — это скачанные из свободных библиотек motion capture замиксованные друг с другом нарезки движений других людей. Других актеров, танцоров, спортсменов, целая толпа разных людей запакованная в один образ. Такая фрагментация актера как сущности. Где он начинается и где он заканчивается?»",0,0,0,0,0
42,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-13 17:10:50","text","19 ноября | 19:00 |Владимир Абих -  «Петербургское уличное искусство»  Теория и ликбез, что такое уличное искусство от одного из самых известных современных художников России 2020 года.  Показ ещё одного документального фильма-интервью от  Паши Никифорова и его проекта #ленинбург - о Петербурге, его архитектуре, актуальной культуре, истории и его героях.  После сеанса будет онлайн общение-обсуждение с Владимиром и Пашей. В общем уникальное событие - приходите!  Регистрация в личку.  Возрастное ограничение: 16+ Стоимость: 100 ₽ 19 ноября | 19:00  Вход только по регистрации! Все меры предосторожности, конечно, соблюдаем.",0,0,0,1,0
53,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-14 20:37:22","text","Первая особенно хорошая.",0,0,0,0,0
54,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-14 20:37:22","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
56,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-24 15:44:48","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
57,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-24 15:44:48","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
58,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-24 15:44:48","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
59,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-24 15:44:48","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
60,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-24 15:44:48","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
