"msg_id","sender","sender_id","reply_to_msg_id","date","msg_type","msg_content","has_mention","has_email","has_phone","has_hashtag","is_bot_command"
31,"Галерея «Ростов»","channel1394421129",-1,"2019-02-23 22:05:15","text","Во Всероссийском Музее декоративно-прикладного искусства (Москва) сейчас проходит ежегодная выставка ""Актуальная Россия. Взрослый выбор"". Знаковые произведения и новые работы современных художников со всей страны объединены в масштабную экспозицию, тема которой в этом году — Взрослый выбор. В том числе в выставке представлены работы резидентов нашей галереи: Евгения Зубкова, Александра Савеленко и Елены Новиковой. Очень гордимся! Небольшой фотоотчёт ниже. ______________________ #АктуальнаяРоссия #ГалереяРостов #Искусство #Соборный22 #ЕвгенийЗубков #ЕленаНовикова #АлександрСавеленко",0,0,0,1,0
32,"Галерея «Ростов»","channel1394421129",-1,"2019-02-24 15:40:02","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
33,"Галерея «Ростов»","channel1394421129",-1,"2019-02-24 15:40:02","text","Отличные новости! Стихи на Соборном! 2 марта в 19:00 у нас выступает Юлия Кобицкая!  Лауреат международного поэтического конкурса ""Золотая строфа"", неоднократный участник ""Ночей поэзии"" Циферблат, финалист конкурса ""Ты-поэт"", финалист конкурса ""Зарифмуй"", автор сборника стихов ""Какие мы на самом деле""  О себе: ""Мечтаю выступить на одной сцене с Ириной Астаховой и Юлией Соломоновой. Первый приз за написанное стихотворение получила в 16 лет. Чаще пишу стихи с сарказмом, юмором, сатирой. Если о любви, то только неразделённой. Верю в инопланетян."" ________________________________ 2 марта | 19:00 | 100 ₽ Художественная галерея Ростов Соборный 22, 2 этаж. 8 (988) 890-09-23 _______________________________ #СтихиНаСоборном #ГалереяНаСоборном #ГалереяРостов #Соборный22",0,0,0,1,0
34,"Галерея «Ростов»","channel1394421129",-1,"2019-02-24 16:30:19","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
35,"Галерея «Ростов»","channel1394421129",-1,"2019-02-24 16:30:19","link","Вчера в галерее ""Ростов"" состоялся совместный с @k-ino.ru  ❤️предпремьерный кинопоказ фильма ""Шедевр"". 📽 Спасибо всем, кто разделил с нами удовольствие от просмотра этого прекрасного фильма. ✨ По нашему скромному мнению, ""Шедевр"" - настоящий шедевр. 🙃 Очень атмосферный, забавный, затягивающий, красивый. Кто не был - в прокате с 28 февраля. 😉 На фото - наш куратор Ира Ровер рассказывает про самого знаменитого фальсификатора в мире искусства. 🖼 Отдельное спасибо - арт-площадке ""Рюмочная на Темерницкой"" за организацию бара. ☕ 📸 - Омар М. Алиев _______________________ #КиноНаСоборном #ГалереяНаСоборном #Соборный22 #ГалереяРостов",0,0,0,1,0
36,"Галерея «Ростов»","channel1394421129",-1,"2019-02-24 17:35:01","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
37,"Галерея «Ростов»","channel1394421129",-1,"2019-02-24 17:35:01","text","Хочется без остановки улыбаться. Всему, без исключения, открыто радоваться, И с незнакомым прохожим запросто обняться, И никому ни на что сегодня не жаловаться! Танцевать на улице, даже без музыки, Вслух напевать любимые песенки... Голова от возбуждения кружится, А на душе легко как-то и весело! Ты задаешься логичным вопросом: ""Что за нелепые такие напасти?"" А по сути-то ничего удивительного и нового, Просто ты ощутил безграничное счастье! ©Юлия Кобицкая _______________________ 2 марта | 19:00 | 100 ₽ Соборный 22, 2 этаж 8 (988) 890-09-23 (14+) _______________________ #ЮлькиныСтихи #СтихиНаСоборном #ГалереяНаСоборном #ГалереяРостов #",0,0,0,1,0
38,"Галерея «Ростов»","channel1394421129",-1,"2019-03-01 13:40:03","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
39,"Галерея «Ростов»","channel1394421129",-1,"2019-03-01 13:40:03","text","С первым днём весны! 🌷 В нашей галерее продолжается выставка Людмилы Скопцовой ✨ На фото: работа ""Солнечный день"" 1974 г. Сегодня вечером у нас #МузыкаНаСоборном  🎶🎶🎶 Два девичьих дуэта -  Elenwood и Юлия Лебедева с Анной Мартиросян - сыграют джаз 💃💃💃💃 Будет классно 😉 Всех приглашаем и будем рады видеть ✨ ________________________ 1 марта | 19:00 | 200 ₽ Художественная галерея ""Ростов"" Соборный 22, 2 этаж. 8 (988) 890-09-23 ______________________ #МузыкаНаСоборном #ГалереяНаСоборном #ГалереяРостов #Ростов #КудаПойтиРостов #Музыка #Джаз",0,0,0,1,0
40,"Галерея «Ростов»","channel1394421129",-1,"2019-03-03 15:01:06","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
41,"Галерея «Ростов»","channel1394421129",-1,"2019-03-03 15:01:06","text","9 марта будем праздновать масленицу 🔆 Готовим для вас песни, хороводы, весёлые игры, конкурсы и чай с блинами 😉 Каждому гостю - порция блинов! 😋 Дети до 7 лет - бесплатно ✨ ________________________ 9 марта с 12:00 до 14:00 250 р Соборный 22, 2 этаж 8 (988) 890-09-23 ________________________ #Масленица #ГалереяРостов #ГалереяНаСобороном",0,0,0,1,0
42,"Галерея «Ростов»","channel1394421129",-1,"2019-03-04 13:11:25","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
43,"Галерея «Ростов»","channel1394421129",-1,"2019-03-04 13:11:25","text","Уже 10 марта у жителей Ростова-на-Дону есть возможность погрузиться в мир ЖЕНЩИНЫ-РАКЕТЫ 🚀 ⠀ КТО ОНА? 🤔 У нее две стороны: она может быть нежной и женственной💃🏻, она же может быть напористой и дерзкой👩🏻‍🎤. Она - сверхзвуковой кочевник. Она пожирает километры дорог на своем авто… 🛣 Огни городов мелькают в зеркале заднего вида: дорога - её дом, и только настоящая любовь способна остановить её… ⠀ ЧТО ВАС ЖДЁТ? 🎸Путешествие по волнам любимых поп-рок-инди мелодий 70-80-90-200-х годов известные песни на английском языке о любви - флиртующей, нежной, обоюдной, безумной, всепоглощающей, порой жестокой… ⠀ 🎤Эстрадный вокал в лаконичной форме моноспектакля с двумя образами ⠀ 🎹 Ироничный перевод песен на русский язык в качестве конферанса шоу ⠀ За 1,5 часа вы прочувствуете стихию ЖЕНЩИНЫ-РАКЕТЫ, а главное - услышите мелодии, которым невозможно не подпевать 🎧 ⠀ 📍 Художественная Галерея Ростов. Соборный 22, 2 этаж ☎️ 8 (988) 890-09-23 📆 10 марта в 19.00 💸 400₽ на входе/300 при предзаказе",0,0,1,0,0
45,"Галерея «Ростов»","channel1394421129",-1,"2019-03-07 15:09:08","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
46,"Галерея «Ростов»","channel1394421129",-1,"2019-03-07 15:09:08","text","⚡️Важное сообщение ⚡️ 8 марта галерея не работает💐 Вернёмся 9 марта и сразу будем праздновать масленицу ☀️🥞 ________________ #ГалереяРостов #Соборный22 #МузыкаНаСоборном #ГалереяНаСоборном #МасленицаНаСоборном",0,0,0,1,0
47,"Галерея «Ростов»","channel1394421129",-1,"2019-03-07 17:45:03","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
